,Theater,Link,city
177,CGV광양 엘에프스퀘어,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0221&date=20230530,광주/전라/제주
178,CGV광주금남로,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0295&date=20230530,광주/전라/제주
179,CGV광주상무,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0193&date=20230530,광주/전라/제주
180,CGV광주용봉,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0210&date=20230530,광주/전라/제주
181,CGV광주첨단,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0218&date=20230530,광주/전라/제주
182,CGV광주충장로,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0244&date=20230530,광주/전라/제주
183,CGV광주터미널,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0090&date=20230530,광주/전라/제주
184,CGV광주하남,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0215&date=20230530,광주/전라/제주
185,CGV나주,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0237&date=20230530,광주/전라/제주
186,CGV목포,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0289&date=20230530,광주/전라/제주
187,CGV목포평화광장,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0280&date=20230530,광주/전라/제주
188,CGV서전주,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0225&date=20230530,광주/전라/제주
189,CGV순천,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0114&date=20230530,광주/전라/제주
190,CGV순천신대,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0268&date=20230530,광주/전라/제주
191,CGV여수웅천,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0315&date=20230530,광주/전라/제주
192,CGV익산,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0020&date=20230530,광주/전라/제주
193,CGV전주고사,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0213&date=20230530,광주/전라/제주
194,CGV전주에코시티,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0336&date=20230530,광주/전라/제주
195,CGV전주효자,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0179&date=20230530,광주/전라/제주
196,CGV정읍,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0186&date=20230530,광주/전라/제주
197,CGV제주,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0302&date=20230530,광주/전라/제주
198,CGV제주노형,http://www.cgv.co.kr/theaters/?areacode=206%2C04%2C06&theaterCode=0259&date=20230530,광주/전라/제주
